name,domain
tdebatty_java-string-similarity,Library
tabulapdf_tabula-java,Library
ysc_word,API
w3c_epubcheck,Tool
jnr_jnr-ffi,Library
CampagneLaboratory_icb-utils,Library
kyrill007_loosejar,Personal Project
stoicflame_ofx4j,Library
JDatePicker_JDatePicker,Library
graphstream_gs-algo,Library
devlauer_ddlutils,Personal Project
jtidy_jtidy,Tool
iipc_webarchive-commons,Library
uPortal-Project_BookmarksPortlet,Tool
getodk_javarosa,Library
bgoodin_stripes-guice,Library
schloepke_jbasics,Personal Project
antlr_stringtemplate4,Tool
kdgregory_swinglib,Personal Project
notima_siefilelib,Personal Project
jruby_joni,Library
gwtplus_google-gin,Tool
BlueObelisk_euclid,Library
EXIficient_exificient,Library
ldapchai_ldapchai,API
timols_java-gitlab-api,API
restfb_restfb,API
elastic_support-diagnostics,Tool
openshift_openshift-restclient-java,Web Application
hyperledger_fabric-sdk-java,API
IBM_java-sdk-core,API
locationtech_spatial4j,Library
jboss-javassist_javassist,Library
arturmkrtchyan_iban4j,Library
iyzico_iyzipay-java,Library
open-feature_java-sdk,API
rhwood_jsplitbutton,Library
akkinoc_yaml-resource-bundle,Library
BrunoEberhard_minimal-j,Personal Project
weibin268_my-util,Personal Project
Cybrid-app_cybrid-api-organization-java,API
Adyen_adyen-java-api-library,Library
Actelion_openchemlib,Library
YunaBraska_wiser-unit,Personal Project
authlete_authlete-java-common,Library
jgroups-extras_jgroups-aws,Library
smooks_smooks-routing-cartridge,Library
smooks_smooks-json-cartridge,Library
bvolpato_inutils4j,Tool
stevespringett_CPE-Parser,Tool
Hakky54_log-captor,Library
heroku_heroku-jvm-application-deployer,Tool
reactiverse_vertx-maven-plugin,Tool
RohanNagar_jmail,Library
smooks_smooks-flatfile-cartridge,Library
gkopff_gson-javatime-serialisers,Tool
dialex_JColor,Library
couchbase_kafka-connect-couchbase,Tool
decorators-squad_eo-yaml,API
webcompere_model-assert,Library
chainables_chainable,Library
CycloneDX_cyclonedx-core-java,Library
beanshell_beanshell,Tool
twilio_twilio-java,Library
trustin_os-maven-plugin,Tool
Unleash_unleash-client-java,API
flipkart-incubator_zjsonpatch,Library
urbanairship_java-library,Library
facebook_facebook-java-business-sdk,API
j256_ormlite-core,Library
